['HiC_scaffold_3', 112033431]
['HiC_scaffold_45', 48070]
['HiC_scaffold_122', 48051]
['HiC_scaffold_46', 47327]
['HiC_scaffold_123', 47167]
['HiC_scaffold_47', 47140]
['HiC_scaffold_124', 46318]
['HiC_scaffold_125', 45583]
['HiC_scaffold_126', 45397]
['HiC_scaffold_48', 45367]
['HiC_scaffold_49', 44780]
['HiC_scaffold_127', 44674]
['HiC_scaffold_50', 44670]
['HiC_scaffold_183', 44185]
['HiC_scaffold_51', 43925]
['HiC_scaffold_52', 43889]
['HiC_scaffold_53', 43064]
['HiC_scaffold_54', 42290]
['HiC_scaffold_137', 41952]
['HiC_scaffold_128', 41843]
['HiC_scaffold_129', 41397]
['HiC_scaffold_130', 41127]
['HiC_scaffold_55', 40822]
['HiC_scaffold_131', 40536]
['HiC_scaffold_194', 40185]
['HiC_scaffold_56', 38570]
['HiC_scaffold_86', 38542]
['HiC_scaffold_176', 38000]
['HiC_scaffold_246', 37000]
['HiC_scaffold_184', 36000]
['HiC_scaffold_57', 35840]
['HiC_scaffold_195', 35815]
['HiC_scaffold_58', 35534]
['HiC_scaffold_271', 33873]
['HiC_scaffold_154', 33000]
['HiC_scaffold_155', 33000]
['HiC_scaffold_132', 32155]
['HiC_scaffold_174', 32138]
['HiC_scaffold_133', 32114]
['HiC_scaffold_59', 32058]
['HiC_scaffold_139', 31952]
['HiC_scaffold_134', 31918]
['HiC_scaffold_60', 31054]
['HiC_scaffold_258', 30804]
['HiC_scaffold_61', 30646]
['HiC_scaffold_62', 30514]
['HiC_scaffold_153', 29185]
['HiC_scaffold_135', 29099]
['HiC_scaffold_232', 28370]
['HiC_scaffold_213', 28054]
['HiC_scaffold_204', 28000]
['HiC_scaffold_219', 27815]
['HiC_scaffold_63', 27573]
['HiC_scaffold_64', 27469]
['HiC_scaffold_65', 27398]
['HiC_scaffold_66', 26768]
['HiC_scaffold_18', 26652]
['HiC_scaffold_67', 26093]
['HiC_scaffold_68', 26038]
['HiC_scaffold_69', 25457]
['HiC_scaffold_4', 25000]
['HiC_scaffold_12', 25000]
['HiC_scaffold_25', 25000]
['HiC_scaffold_26', 25000]
['HiC_scaffold_27', 25000]
['HiC_scaffold_28', 25000]
['HiC_scaffold_141', 25000]
['HiC_scaffold_143', 25000]
['HiC_scaffold_169', 25000]
['HiC_scaffold_181', 25000]
['HiC_scaffold_188', 25000]
['HiC_scaffold_203', 25000]
['HiC_scaffold_220', 25000]
['HiC_scaffold_264', 24946]
['HiC_scaffold_248', 24910]
['HiC_scaffold_70', 24894]
['HiC_scaffold_144', 24541]
['HiC_scaffold_235', 24257]
['HiC_scaffold_262', 23766]
['HiC_scaffold_192', 23038]
['HiC_scaffold_180', 22768]
['HiC_scaffold_214', 22437]
['HiC_scaffold_136', 22152]
['HiC_scaffold_224', 21815]
['HiC_scaffold_71', 21699]
['HiC_scaffold_23', 21000]
['HiC_scaffold_138', 21000]
['HiC_scaffold_210', 21000]
['HiC_scaffold_206', 20815]
['HiC_scaffold_277', 20407]
['HiC_scaffold_278', 20232]
['HiC_scaffold_249', 20072]
['HiC_scaffold_281', 19822]
['HiC_scaffold_199', 19528]
['HiC_scaffold_274', 19429]
['HiC_scaffold_276', 19228]
['HiC_scaffold_265', 19186]
['HiC_scaffold_156', 19000]
['HiC_scaffold_158', 19000]
['HiC_scaffold_273', 18928]
['HiC_scaffold_201', 18754]
['HiC_scaffold_267', 18743]
['HiC_scaffold_283', 18685]
['HiC_scaffold_72', 18278]
['HiC_scaffold_287', 18002]
['HiC_scaffold_179', 18000]
['HiC_scaffold_73', 17520]
['HiC_scaffold_256', 17452]
['HiC_scaffold_284', 17357]
['HiC_scaffold_282', 17234]
['HiC_scaffold_149', 17206]
['HiC_scaffold_218', 17000]
['HiC_scaffold_275', 16794]
['HiC_scaffold_257', 16726]
['HiC_scaffold_251', 16423]
['HiC_scaffold_87', 16000]
['HiC_scaffold_164', 16000]
['HiC_scaffold_208', 16000]
['HiC_scaffold_286', 15405]
['HiC_scaffold_240', 14947]
['HiC_scaffold_252', 14571]
['HiC_scaffold_167', 14340]
['HiC_scaffold_291', 14253]
['HiC_scaffold_266', 14219]
['HiC_scaffold_290', 14185]
['HiC_scaffold_198', 13963]
['HiC_scaffold_269', 13337]
['HiC_scaffold_241', 12543]
['HiC_scaffold_173', 11773]
['HiC_scaffold_145', 11654]
['HiC_scaffold_239', 11000]
['HiC_scaffold_292', 10257]
['HiC_scaffold_159', 10000]
['HiC_scaffold_168', 9000]
['HiC_scaffold_209', 9000]
['HiC_scaffold_244', 9000]
['HiC_scaffold_157', 8815]
['HiC_scaffold_150', 8794]
['HiC_scaffold_146', 8000]
['HiC_scaffold_216', 8000]
['HiC_scaffold_260', 6178]
['HiC_scaffold_238', 6000]
['HiC_scaffold_242', 6000]
['HiC_scaffold_243', 6000]
['HiC_scaffold_259', 5047]
['HiC_scaffold_178', 5000]
['HiC_scaffold_237', 5000]
['HiC_scaffold_245', 5000]
['HiC_scaffold_205', 3185]
['HiC_scaffold_197', 3000]
['HiC_scaffold_215', 3000]
['HiC_scaffold_230', 2815]
['HiC_scaffold_263', 2814]
['HiC_scaffold_142', 2000]
['HiC_scaffold_151', 2000]
['HiC_scaffold_161', 2000]
['HiC_scaffold_189', 2000]
['HiC_scaffold_165', 1000]
['HiC_scaffold_175', 1000]
['HiC_scaffold_177', 1000]
['HiC_scaffold_185', 1000]
['HiC_scaffold_196', 1000]
['HiC_scaffold_207', 1000]
