['HiC_scaffold_2', 113376000]
['HiC_scaffold_124', 55143]
['HiC_scaffold_211', 54601]
['HiC_scaffold_125', 53687]
['HiC_scaffold_45', 53246]
['HiC_scaffold_208', 51850]
['HiC_scaffold_126', 51306]
['HiC_scaffold_127', 51123]
['HiC_scaffold_233', 51000]
['HiC_scaffold_207', 50343]
['HiC_scaffold_35', 49999]
['HiC_scaffold_128', 49196]
['HiC_scaffold_129', 49191]
['HiC_scaffold_67', 48969]
['HiC_scaffold_130', 48265]
['HiC_scaffold_43', 48122]
['HiC_scaffold_28', 47630]
['HiC_scaffold_131', 47327]
['HiC_scaffold_38', 46818]
['HiC_scaffold_97', 46360]
['HiC_scaffold_132', 45583]
['HiC_scaffold_133', 45480]
['HiC_scaffold_134', 45397]
['HiC_scaffold_135', 44930]
['HiC_scaffold_96', 44905]
['HiC_scaffold_95', 44426]
['HiC_scaffold_218', 44192]
['HiC_scaffold_136', 44163]
['HiC_scaffold_137', 43925]
['HiC_scaffold_138', 43889]
['HiC_scaffold_20', 43715]
['HiC_scaffold_139', 43547]
['HiC_scaffold_140', 43064]
['HiC_scaffold_141', 42943]
['HiC_scaffold_142', 42290]
['HiC_scaffold_143', 41551]
['HiC_scaffold_144', 41207]
['HiC_scaffold_145', 41127]
['HiC_scaffold_30', 41055]
['HiC_scaffold_90', 40831]
['HiC_scaffold_210', 40570]
['HiC_scaffold_27', 40525]
['HiC_scaffold_146', 39926]
['HiC_scaffold_87', 39198]
['HiC_scaffold_147', 38923]
['HiC_scaffold_148', 38634]
['HiC_scaffold_86', 38542]
['HiC_scaffold_149', 38186]
['HiC_scaffold_85', 38004]
['HiC_scaffold_150', 37961]
['HiC_scaffold_56', 37042]
['HiC_scaffold_151', 36976]
['HiC_scaffold_152', 36756]
['HiC_scaffold_153', 36560]
['HiC_scaffold_40', 36391]
['HiC_scaffold_55', 36160]
['HiC_scaffold_154', 35684]
['HiC_scaffold_155', 35601]
['HiC_scaffold_22', 35214]
['HiC_scaffold_156', 35032]
['HiC_scaffold_157', 34803]
['HiC_scaffold_158', 34656]
['HiC_scaffold_82', 34441]
['HiC_scaffold_81', 34371]
['HiC_scaffold_159', 34235]
['HiC_scaffold_80', 34147]
['HiC_scaffold_160', 33889]
['HiC_scaffold_161', 33494]
['HiC_scaffold_78', 33396]
['HiC_scaffold_162', 33068]
['HiC_scaffold_23', 32583]
['HiC_scaffold_163', 32508]
['HiC_scaffold_24', 32429]
['HiC_scaffold_29', 32114]
['HiC_scaffold_164', 32058]
['HiC_scaffold_165', 31615]
['HiC_scaffold_166', 31445]
['HiC_scaffold_37', 31193]
['HiC_scaffold_167', 29876]
['HiC_scaffold_168', 29748]
['HiC_scaffold_73', 29736]
['HiC_scaffold_214', 29650]
['HiC_scaffold_169', 29280]
['HiC_scaffold_44', 29099]
['HiC_scaffold_224', 29040]
['HiC_scaffold_100', 29000]
['HiC_scaffold_234', 29000]
['HiC_scaffold_170', 28993]
['HiC_scaffold_171', 27688]
['HiC_scaffold_172', 27256]
['HiC_scaffold_173', 26916]
['HiC_scaffold_69', 26814]
['HiC_scaffold_174', 26093]
['HiC_scaffold_175', 25373]
['HiC_scaffold_176', 24894]
['HiC_scaffold_177', 24204]
['HiC_scaffold_178', 23781]
['HiC_scaffold_66', 23687]
['HiC_scaffold_179', 23429]
['HiC_scaffold_65', 23101]
['HiC_scaffold_180', 22939]
['HiC_scaffold_46', 22921]
['HiC_scaffold_181', 22720]
['HiC_scaffold_225', 22617]
['HiC_scaffold_182', 22373]
['HiC_scaffold_25', 22332]
['HiC_scaffold_61', 22152]
['HiC_scaffold_183', 21820]
['HiC_scaffold_184', 21699]
['HiC_scaffold_185', 21074]
['HiC_scaffold_186', 20885]
['HiC_scaffold_58', 19922]
['HiC_scaffold_187', 19781]
['HiC_scaffold_188', 19282]
['HiC_scaffold_189', 18278]
['HiC_scaffold_190', 17484]
['HiC_scaffold_232', 17383]
['HiC_scaffold_103', 17216]
['HiC_scaffold_220', 15784]
['HiC_scaffold_226', 13644]
['HiC_scaffold_229', 13356]
['HiC_scaffold_222', 12386]
['HiC_scaffold_227', 9523]
['HiC_scaffold_230', 9477]
['HiC_scaffold_223', 8845]
['HiC_scaffold_235', 8000]
['HiC_scaffold_231', 4614]
['HiC_scaffold_221', 2000]
['HiC_scaffold_228', 2000]
['HiC_scaffold_219', 1000]
