['HiC_scaffold_7', 112042449]
['HiC_scaffold_54', 33618]
['HiC_scaffold_47', 33000]
['HiC_scaffold_169', 31632]
['HiC_scaffold_160', 30694]
['HiC_scaffold_132', 30432]
['HiC_scaffold_29', 30137]
['HiC_scaffold_30', 29100]
['HiC_scaffold_60', 29000]
['HiC_scaffold_77', 27900]
['HiC_scaffold_27', 27469]
['HiC_scaffold_179', 27010]
['HiC_scaffold_105', 26100]
['HiC_scaffold_173', 25448]
['HiC_scaffold_15', 25000]
['HiC_scaffold_19', 25000]
['HiC_scaffold_20', 25000]
['HiC_scaffold_21', 25000]
['HiC_scaffold_22', 25000]
['HiC_scaffold_62', 25000]
['HiC_scaffold_82', 25000]
['HiC_scaffold_83', 25000]
['HiC_scaffold_121', 25000]
['HiC_scaffold_178', 24069]
['HiC_scaffold_170', 24017]
['HiC_scaffold_171', 23264]
['HiC_scaffold_11', 23000]
['HiC_scaffold_180', 22836]
['HiC_scaffold_89', 21900]
['HiC_scaffold_181', 21805]
['HiC_scaffold_186', 20105]
['HiC_scaffold_74', 20048]
['HiC_scaffold_36', 20000]
['HiC_scaffold_103', 20000]
['HiC_scaffold_174', 19684]
['HiC_scaffold_187', 19534]
['HiC_scaffold_182', 19503]
['HiC_scaffold_145', 19497]
['HiC_scaffold_76', 19342]
['HiC_scaffold_191', 19298]
['HiC_scaffold_193', 19255]
['HiC_scaffold_185', 18931]
['HiC_scaffold_183', 18854]
['HiC_scaffold_38', 18733]
['HiC_scaffold_175', 18702]
['HiC_scaffold_154', 18368]
['HiC_scaffold_101', 18100]
['HiC_scaffold_75', 17520]
['HiC_scaffold_109', 17298]
['HiC_scaffold_70', 17137]
['HiC_scaffold_184', 17091]
['HiC_scaffold_158', 16680]
['HiC_scaffold_192', 16573]
['HiC_scaffold_194', 16521]
['HiC_scaffold_24', 16051]
['HiC_scaffold_13', 16000]
['HiC_scaffold_117', 16000]
['HiC_scaffold_57', 15909]
['HiC_scaffold_196', 15705]
['HiC_scaffold_162', 15661]
['HiC_scaffold_161', 15146]
['HiC_scaffold_37', 15075]
['HiC_scaffold_104', 15000]
['HiC_scaffold_114', 15000]
['HiC_scaffold_110', 14543]
['HiC_scaffold_34', 14000]
['HiC_scaffold_32', 13743]
['HiC_scaffold_44', 13000]
['HiC_scaffold_56', 12479]
['HiC_scaffold_84', 12000]
['HiC_scaffold_128', 12000]
['HiC_scaffold_131', 12000]
['HiC_scaffold_119', 11164]
['HiC_scaffold_134', 11000]
['HiC_scaffold_96', 10000]
['HiC_scaffold_141', 9949]
['HiC_scaffold_159', 9925]
['HiC_scaffold_48', 9725]
['HiC_scaffold_100', 9000]
['HiC_scaffold_123', 9000]
['HiC_scaffold_61', 8948]
['HiC_scaffold_142', 8876]
['HiC_scaffold_50', 8051]
['HiC_scaffold_42', 8000]
['HiC_scaffold_99', 8000]
['HiC_scaffold_137', 8000]
['HiC_scaffold_143', 8000]
['HiC_scaffold_144', 8000]
['HiC_scaffold_197', 7702]
['HiC_scaffold_124', 7000]
['HiC_scaffold_153', 7000]
['HiC_scaffold_149', 6124]
['HiC_scaffold_41', 6000]
['HiC_scaffold_45', 6000]
['HiC_scaffold_69', 6000]
['HiC_scaffold_122', 6000]
['HiC_scaffold_147', 6000]
['HiC_scaffold_163', 5375]
['HiC_scaffold_120', 5000]
['HiC_scaffold_127', 4088]
['HiC_scaffold_129', 4000]
['HiC_scaffold_102', 3900]
['HiC_scaffold_140', 3736]
['HiC_scaffold_172', 3627]
['HiC_scaffold_39', 3000]
['HiC_scaffold_46', 2000]
['HiC_scaffold_81', 2000]
['HiC_scaffold_87', 2000]
['HiC_scaffold_98', 2000]
['HiC_scaffold_113', 2000]
['HiC_scaffold_130', 2000]
['HiC_scaffold_136', 2000]
['HiC_scaffold_148', 1424]
['HiC_scaffold_164', 1395]
['HiC_scaffold_49', 1027]
['HiC_scaffold_58', 1000]
['HiC_scaffold_66', 1000]
['HiC_scaffold_78', 1000]
['HiC_scaffold_79', 1000]
['HiC_scaffold_85', 1000]
['HiC_scaffold_91', 1000]
['HiC_scaffold_112', 1000]
['HiC_scaffold_116', 1000]
['HiC_scaffold_138', 1000]
['HiC_scaffold_139', 1000]
['HiC_scaffold_152', 1000]
['HiC_scaffold_155', 1000]
